iter	Passed	Remaining
0	2	199
1	3	185
2	5	181
3	7	169
4	8	168
5	10	167
6	12	166
7	14	165
8	16	162
9	17	159
10	19	157
11	21	156
12	23	155
13	24	149
14	25	143
15	26	138
16	27	133
17	28	129
18	29	125
19	30	122
20	31	119
21	32	116
22	33	113
23	34	110
24	35	107
25	37	105
26	38	103
27	39	100
28	40	98
29	41	96
30	42	94
31	43	92
32	44	90
33	45	88
34	46	86
35	47	85
36	48	83
37	49	81
38	51	80
39	52	78
40	53	76
41	53	74
42	54	72
43	55	71
44	56	69
45	58	68
46	59	66
47	60	65
48	61	63
49	62	62
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	73	47
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	80	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
